Mdr,km_per_l
1997M07,12.9
1997M08,13
1997M09,13
1997M10,13.1
1997M11,13
1997M12,12.7
1998M01,13.3
1998M02,13.2
1998M03,13
1998M04,13
1998M05,13.1
1998M06,13.2
1998M07,13.2
1998M08,13.3
1998M09,13.3
1998M10,13.3
1998M11,13.2
1998M12,12.9
1999M01,13.6
1999M02,13.4
1999M03,13.4
1999M04,13.6
1999M05,13.4
1999M06,13.4
1999M07,13.5
1999M08,13.7
1999M09,13.6
1999M10,13.6
1999M11,13.6
1999M12,13.2
2000M01,13.9
2000M02,13.8
2000M03,13.7
2000M04,13.8
2000M05,13.6
2000M06,13.7
2000M07,13.6
2000M08,13.9
2000M09,13.7
2000M10,13.6
2000M11,13.6
2000M12,13.2
2001M01,13.9
2001M02,13.9
2001M03,13.8
2001M04,13.8
2001M05,13.7
2001M06,13.7
2001M07,13.7
2001M08,13.8
2001M09,13.8
2001M10,13.7
2001M11,13.5
2001M12,13
2002M01,13.9
2002M02,13.8
2002M03,13.9
2002M04,13.8
2002M05,13.8
2002M06,13.7
2002M07,13.8
2002M08,13.8
2002M09,13.8
2002M10,13.8
2002M11,13.6
2002M12,13.2
2003M01,14
2003M02,13.9
2003M03,14
2003M04,14
2003M05,13.7
2003M06,13.8
2003M07,13.7
2003M08,14.2
2003M09,14.1
2003M10,14.1
2003M11,14.1
2003M12,13.5
2004M01,14.3
2004M02,14.1
2004M03,14.2
2004M04,14.2
2004M05,14.4
2004M06,14.2
2004M07,14.2
2004M08,14.5
2004M09,14.6
2004M10,14.4
2004M11,14.3
2004M12,13.8
2005M01,14.9
2005M02,14.8
2005M03,14.7
2005M04,14.7
2005M05,14.6
2005M06,14.5
2005M07,14.6
2005M08,14.7
2005M09,14.5
2005M10,14.4
2005M11,14.4
2005M12,13.7
2006M01,14.8
2006M02,14.9
2006M03,14.7
2006M04,14.8
2006M05,14.8
2006M06,14.6
2006M07,14.9
2006M08,14.9
2006M09,14.7
2006M10,14.8
2006M11,14.8
2006M12,14
2007M01,15
2007M02,14.8
2007M03,14.7
2007M04,14.7
2007M05,15.1
2007M06,15.1
2007M07,15
2007M08,15.1
2007M09,15.1
2007M10,15.2
2007M11,15.4
2007M12,15
2008M01,16.1
2008M02,15.9
2008M03,15.7
2008M04,16
2008M05,16.3
2008M06,16.1
2008M07,16.6
2008M08,17.1
2008M09,17.1
2008M10,16.9
2008M11,16.7
2008M12,15.5
2009M01,17
2009M02,17
2009M03,17
2009M04,17.6
2009M05,17.6
2009M06,17.2
2009M07,17.7
2009M08,18.1
2009M09,17.8
2009M10,17.7
2009M11,17.8
2009M12,17.3
2010M01,18.2
2010M02,18.1
2010M03,17.9
2010M04,18.1
2010M05,18.3
2010M06,18.3
2010M07,18.5
2010M08,18.7
2010M09,18.6
2010M10,18.5
2010M11,18.5
2010M12,17.6
2011M01,18.6
2011M02,18.9
2011M03,18.3
2011M04,18.5
2011M05,18.6
2011M06,18.9
2011M07,18.9
2011M08,19.2
2011M09,19
2011M10,19
2011M11,19.2
2011M12,19
2012M01,19.5
2012M02,19.6
2012M03,20.1
2012M04,20.3
2012M05,20.3
2012M06,20.5
2012M07,20.7
2012M08,21.3
2012M09,21.2
2012M10,21.2
2012M11,21.5
2012M12,21.5
2013M01,21.2
2013M02,21.4
2013M03,21
2013M04,21.3
2013M05,21.4
2013M06,21.3
2013M07,21.3
2013M08,21.3
2013M09,21.3
2013M10,21.4
2013M11,21.3
2013M12,21.6
2014M01,21.3
2014M02,21.4
2014M03,21.2
2014M04,21.3
2014M05,21.1
2014M06,21
2014M07,21.4
2014M08,21.8
2014M09,21.6
2014M10,21.8
2014M11,22.1
2014M12,22.2
2015M01,22.2
2015M02,21.8
2015M03,21.5
2015M04,21.7
2015M05,21.7
2015M06,22
2015M07,22
2015M08,21.7
2015M09,22
2015M10,21.9
2015M11,22.1
2015M12,21.8
2016M01,22.2
2016M02,22
2016M03,21.6
2016M04,21.8
2016M05,21.6
2016M06,21.6
2016M07,21.8
2016M08,21.9
2016M09,22
2016M10,22.1
2016M11,21.9
2016M12,21.7
2017M01,22.1
2017M02,21.8
2017M03,21.6
2017M04,21.5
2017M05,21.6
2017M06,21.3
2017M07,21.6
2017M08,21.9
2017M09,22.9
2017M10,21.6
2017M11,21
2017M12,20.7
2018M01,21.4
2018M02,20.9
2018M03,21
2018M04,21
2018M05,20.9
2018M06,20.8
2018M07,21
2018M08,21.4
2018M09,22.4
2018M10,22.3
2018M11,22.2
2018M12,22.1
2019M01,22.4
2019M02,22.2
2019M03,22.2
2019M04,21.9
2019M05,21.8
2019M06,21.8
2019M07,22.2
2019M08,22.1
2019M09,22.4
2019M10,22.5
2019M11,22.4
2019M12,21.8
2020M01,23.3
2020M02,23.2
2020M03,22.7
2020M04,23.1
2020M05,23.2
2020M06,23
2020M07,23.3
2020M08,23.8
2020M09,24.1
2020M10,23.9
2020M11,24.5
2020M12,24.7
2021M01,21.7
2021M02,21.5
2021M03,21.7
2021M04,21.3
2021M05,21.6
2021M06,22.2
